MtoS.X,MtoS.Y,MtoS.Z,MtoS.rX,MtoS.rY,MtoS.rZ,A_x,StoFRC.X,StoFRC.Y,StoFRC.Z,StoFRC.rX,StoFRC.rY,StoFRC.rZ
3.541,-0.004,0.000,-0.023505,-0.001242,0.001347,0.043565,0.005,-0.227,-0.449,-0.023557,0.000835,0.014291,
-108.928,-0.047,-0.029,11.158608,-0.006158,0.002862,-0.023013,112.524,-0.245,-0.443,-11.202824,0.004646,0.021442,
1.603,-0.014,-0.002,-0.000246,-0.000437,-0.000187,-0.003855,1.987,-0.267,-0.454,-0.046445,0.003013,0.017306,
1.603,-0.014,-0.002,-0.000246,-0.000437,-0.000187,-0.003855,1.987,-0.267,-0.454,-0.046445,0.003013,0.017306,
1.603,-0.014,-0.002,-0.000246,-0.000437,-0.000187,-0.003855,1.987,-0.267,-0.454,-0.046445,0.003013,0.017306,
1.603,-0.014,-0.002,-0.000246,-0.000437,-0.000187,-0.003855,1.987,-0.267,-0.454,-0.046445,0.003013,0.017306,
1.603,-0.014,-0.002,-0.000246,-0.000437,-0.000187,-0.003855,1.987,-0.267,-0.454,-0.046445,0.003013,0.017306,
1.603,-0.014,-0.002,-0.000246,-0.000437,-0.000187,-0.003855,1.987,-0.267,-0.454,-0.046445,0.003013,0.017306,
-204.535,-0.042,-0.004,-1.434119,-0.001291,0.002873,0.007757,208.120,-0.216,-0.009,1.338868,-0.001411,0.014521,
-154.538,-0.043,0.001,-0.414837,0.000590,0.002072,0.018208,158.277,-0.227,-0.002,0.386908,0.000310,0.016112,
-204.535,-0.042,-0.004,-1.434119,-0.001291,0.002873,0.007757,208.120,-0.216,-0.009,1.338868,-0.001411,0.014521,
-154.538,-0.043,0.001,-0.414837,0.000590,0.002072,0.018208,158.277,-0.227,-0.002,0.386908,0.000310,0.016112,
1.603,-0.014,-0.002,-0.000246,-0.000437,-0.000187,-0.003855,1.987,-0.267,-0.454,-0.046445,0.003013,0.017306,
-154.538,-0.043,0.001,-0.414837,0.000590,0.002072,0.018208,158.277,-0.227,-0.002,0.386908,0.000310,0.016112,
3.643,-0.334,-0.404,-0.027598,-0.000171,0.020278,-0.000003,0.000,0.000,0.000,-0.029543,0.001271,0.001537,
-154.538,-0.043,0.001,-0.414837,0.000590,0.002072,0.018208,158.277,-0.227,-0.002,0.386908,0.000310,0.016112,
-183.970,-0.055,-0.003,-4.948508,-0.001086,0.004879,-0.004474,187.650,-0.227,-0.037,4.906897,-0.001579,0.017822,
NaN,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,0.000000,0.000000,
1.603,-0.014,-0.002,-0.000246,-0.000437,-0.000187,-0.003855,1.987,-0.267,-0.454,-0.046445,0.003013,0.017306,
-223.376,-0.077,-0.005,-0.539660,-0.001678,0.006328,-0.004472,227.036,-0.205,-0.035,0.494841,-0.001102,0.019743,
-183.970,-0.055,-0.003,-4.948508,-0.001086,0.004879,-0.004474,187.650,-0.227,-0.037,4.906897,-0.001579,0.017822,
-194.741,-0.059,-0.006,0.862821,-0.000477,0.005259,-0.011277,198.432,-0.226,-0.019,-0.903717,-0.001562,0.017332,
-167.942,-0.045,0.002,-0.516944,0.000115,0.002222,0.003297,171.530,-0.231,-0.012,0.476259,0.000316,0.015325,
-170.388,-0.054,-0.010,1.238618,-0.000727,0.004906,-0.007533,174.065,-0.242,-0.024,-1.287013,-0.002777,0.018083,
-170.388,-0.054,-0.010,1.238618,-0.000727,0.004906,-0.007533,174.065,-0.242,-0.024,-1.287013,-0.002777,0.018083,
-170.388,-0.054,-0.010,1.238618,-0.000727,0.004906,-0.007533,174.065,-0.242,-0.024,-1.287013,-0.002777,0.018083,
-170.388,-0.054,-0.010,1.238618,-0.000727,0.004906,-0.007533,174.065,-0.242,-0.024,-1.287013,-0.002777,0.018083,
-170.388,-0.054,-0.010,1.238618,-0.000727,0.004906,-0.007533,174.065,-0.242,-0.024,-1.287013,-0.002777,0.018083,
3.597,-0.002,0.001,-0.000883,0.046272,0.032478,0.000000,0.000,-0.031,0.000,-0.000851,0.000589,-0.057533,
NaN,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,0.000000,0.000000,
-170.388,-0.054,-0.010,1.238618,-0.000727,0.004906,-0.007533,174.065,-0.242,-0.024,-1.287013,-0.002777,0.018083,
-231.509,-0.066,-0.004,2.400969,0.000029,0.003148,0.010545,235.083,-0.211,0.012,-2.430966,-0.000421,0.016133,
-121.548,-0.036,0.004,1.622714,0.001311,0.000982,0.008348,125.230,-0.243,0.026,-1.657752,0.002807,0.016960,
-121.548,-0.036,0.004,1.622714,0.001311,0.000982,0.008348,125.230,-0.243,0.026,-1.657752,0.002807,0.016960,
-123.134,-0.037,0.004,1.319812,0.001330,0.000970,0.009822,126.817,-0.242,0.024,-1.355152,0.002875,0.016880,
-151.231,-0.050,-0.007,2.542085,-0.000243,0.002780,0.004166,154.938,-0.247,0.001,-2.569152,-0.000860,0.018648,
-181.737,-0.055,0.010,-1.844533,0.001150,0.002725,0.025242,185.401,-0.244,0.002,1.803302,0.002498,0.017297,
-181.737,-0.055,0.010,-1.844533,0.001150,0.002725,0.025242,185.401,-0.244,0.002,1.803302,0.002498,0.017297,
-164.086,-0.051,0.003,-0.881139,0.000657,0.002394,0.013387,167.754,-0.245,-0.007,0.866155,0.000782,0.017676,
-241.143,-0.066,0.003,-0.116199,0.001480,0.005352,-0.003048,244.810,-0.206,-0.005,0.099449,0.000760,0.015717,
-178.645,-0.057,-0.010,1.655333,-0.000763,0.005055,-0.000932,182.355,-0.231,-0.019,-1.689089,-0.002311,0.018228,
-150.746,-0.050,-0.007,1.517015,-0.001059,0.002073,0.012713,154.414,-0.256,-0.006,-1.542871,-0.001595,0.019003,
-152.904,-0.049,0.004,-0.566641,0.001544,0.002826,0.016109,156.523,-0.258,-0.007,0.530101,0.001208,0.018222,
-200.880,-0.058,-0.003,0.853569,0.000275,0.004431,-0.003489,204.503,-0.213,-0.014,-0.877692,-0.000476,0.016407,
4.997,3.252,4.260,-0.439704,-1.351898,0.956150,-1.564643,-0.940,15.274,4.511,0.418411,0.002723,0.120454,
-172.950,-0.053,-0.008,2.068239,0.000079,0.004684,0.011252,176.611,-0.239,-0.018,-2.098014,-0.001485,0.017511,
-172.950,-0.053,-0.008,2.068239,0.000079,0.004684,0.011252,176.611,-0.239,-0.018,-2.098014,-0.001485,0.017511,
-194.892,-0.059,-0.003,1.073967,0.000180,0.004862,0.012314,198.550,-0.231,-0.017,-1.104514,-0.000434,0.017261,
-146.177,-0.049,-0.007,1.345727,-0.000678,0.002781,0.010575,149.877,-0.256,-0.018,-1.359606,-0.001781,0.019213,
-668.871,-23.734,0.296,-3.431477,-0.118555,2.097694,-0.911610,674.210,-0.931,0.313,2.240559,0.104854,2.030344,
-150.612,-0.052,0.001,-0.250616,0.000183,0.002818,0.015932,154.335,-0.267,-0.014,0.226926,0.000237,0.019775,
-150.612,-0.052,0.001,-0.250616,0.000183,0.002818,0.015932,154.335,-0.267,-0.014,0.226926,0.000237,0.019775,
-142.300,-0.048,0.000,-0.036263,0.000384,0.002421,0.016690,146.023,-0.265,-0.014,0.013796,0.000069,0.019353,
-229.957,-0.081,0.003,-0.128377,0.000555,0.001322,0.006398,233.689,-0.244,-0.014,0.098772,0.000560,0.020143,
-229.957,-0.081,0.003,-0.128377,0.000555,0.001322,0.006398,233.689,-0.244,-0.014,0.098772,0.000560,0.020143,
-229.957,-0.081,0.003,-0.128377,0.000555,0.001322,0.006398,233.689,-0.244,-0.014,0.098772,0.000560,0.020143,
-161.717,-0.050,-0.009,2.963089,0.000683,0.006419,0.005752,165.331,-0.231,-0.006,-2.979626,-0.001354,0.017471,
89.932,0.033,0.001,-0.970446,-0.002746,-0.001813,-0.002470,-86.270,-0.338,-0.054,0.941561,0.001232,0.020696,
-206.514,-0.060,-0.009,0.457157,0.000075,0.005025,-0.002899,210.119,-0.221,-0.061,-0.470444,-0.002411,0.016711,
-157.547,-0.061,-0.009,2.535340,-0.001252,0.003109,0.005029,161.231,-0.274,0.004,-2.538907,-0.001450,0.021994,
-157.773,-0.056,-0.004,0.860549,-0.000706,0.005378,0.000826,161.392,-0.263,-0.013,-0.877602,-0.001060,0.020367,
-142.998,-0.056,0.004,-0.626584,-0.000647,0.003691,0.019818,146.604,-0.301,0.000,0.612736,0.001076,0.022584,
-142.998,-0.056,0.004,-0.626584,-0.000647,0.003691,0.019818,146.604,-0.301,0.000,0.612736,0.001076,0.022584,
7.246,-0.017,0.012,-0.613334,-0.199603,-0.019396,-0.031969,0.001,0.439,-0.106,-0.612484,0.075694,-0.161586,
0.000,0.000,0.000,0.000000,0.000000,0.000000,-0.017417,7.253,0.427,-0.090,-1.248639,-0.008012,0.009950,
7.511,0.025,-0.011,-1.350587,-0.208844,0.088657,-0.380684,0.000,0.000,0.000,0.000000,0.000000,0.000000,
7.246,-0.017,0.012,-0.613334,-0.199603,-0.019396,-0.031969,0.001,0.439,-0.106,-0.612484,0.075694,-0.161586,
7.228,-0.017,0.012,-0.612832,-0.199394,-0.021140,0.000000,0.001,0.440,-0.110,-0.611975,0.075394,-0.161312,
7.246,-0.017,0.012,-0.613334,-0.199603,-0.019396,-0.031969,0.001,0.439,-0.106,-0.612484,0.075694,-0.161586,
7.246,-0.017,0.012,-0.613334,-0.199603,-0.019396,-0.031969,0.001,0.439,-0.106,-0.612484,0.075694,-0.161586,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,-0.059,0.011,-0.007769,0.002604,0.005515,-0.011027,3.576,-0.226,-0.038,-0.007771,-0.002390,0.013065,
-234.568,-0.056,-0.003,-2.516940,0.000955,0.005215,-0.006641,238.142,-0.169,-0.029,2.497602,-0.001073,0.013648,
0.000,-0.059,0.011,-0.007769,0.002604,0.005515,-0.011027,3.576,-0.226,-0.038,-0.007771,-0.002390,0.013065,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,-0.423,0.448,-0.291589,-0.002104,-0.029078,0.019774,287.233,0.167,-0.955,-0.293195,0.012721,0.009280,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,-0.423,0.448,-0.291589,-0.002104,-0.029079,0.019774,7.233,0.167,-0.955,-0.293194,0.012722,0.009280,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,-0.005,0.412,-0.611909,-0.006158,-0.024425,0.000000,7.243,0.055,-0.235,-0.613013,0.016824,0.012600,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,0.088,0.480,-0.610489,0.049389,-0.095418,-0.081742,7.272,-0.040,-0.210,-0.611141,0.038911,0.089279,
0.000,-0.038,0.320,-0.610364,-0.077289,-0.000840,-0.160577,7.358,0.156,-0.277,-0.611513,-0.009620,-0.063761,
0.000,0.046,0.530,-0.611345,0.044766,-0.045096,0.197881,7.106,-0.075,-0.187,-0.612624,0.038050,0.069440,
0.000,-0.171,0.235,-0.611463,-0.074976,0.043118,0.065048,7.225,0.277,-0.257,-0.612891,0.009010,-0.073654,
0.000,0.014,0.470,-0.607998,-0.002937,-0.028002,0.029451,7.243,0.012,-0.229,-0.613052,0.020180,0.012841,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-53.758,-3.440,12.849,-84.381178,8.953290,79.553177,4.115570,-72.422,-55.324,22.470,36.112391,29.078755,-16.609523,
-53.758,-3.440,12.849,-84.381178,8.953290,79.553177,4.115570,-72.422,-55.324,22.470,36.112391,29.078755,-16.609523,
-54.134,-3.241,14.502,-85.604906,10.157608,79.857302,5.932604,-70.908,-53.482,25.346,38.482680,28.757711,-20.252329,
-53.758,-3.440,12.849,-84.381178,8.953290,79.553177,4.115570,-72.422,-55.324,22.470,36.112391,29.078755,-16.609523,
-53.965,-3.368,12.946,-84.198690,10.602461,79.831106,0.000000,-71.956,-54.778,23.737,37.677052,29.499699,-18.443236,
898.548,-0.006,-0.554,-0.377542,0.005029,0.000107,0.000000,-740.783,-23.598,-74.560,-0.157034,-0.876140,0.060762,
-453.646,-0.020,-0.554,-1.827149,0.004751,0.001295,0.004749,611.253,-22.116,-53.892,1.292949,-0.873807,0.081773,
898.548,-0.006,-0.554,-0.377542,0.005029,0.000107,0.000000,-740.783,-23.598,-74.560,-0.157034,-0.876140,0.060762,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
898.548,-0.006,-0.554,-0.377542,0.005029,0.000107,0.000000,-740.783,-23.598,-74.560,-0.157034,-0.876140,0.060762,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
899.113,-0.312,-0.456,-34.186684,0.006578,0.001364,0.000000,-741.347,-23.591,-74.586,-56.351187,-0.538178,-0.695338,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
899.113,-0.312,-0.456,-34.186684,0.006578,0.001364,0.000000,-741.347,-23.591,-74.586,-56.351187,-0.538178,-0.695338,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
899.113,-0.312,-0.456,-34.186684,0.006578,0.001364,0.000000,-741.347,-23.591,-74.586,-56.351187,-0.538178,-0.695338,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
899.113,-0.312,-0.456,-34.186684,0.006578,0.001364,0.000000,-741.347,-23.591,-74.586,-56.351187,-0.538178,-0.695338,
105.735,-0.134,-0.537,-13.703673,0.005428,0.001663,0.007790,51.932,-22.721,-62.440,-76.833312,-0.259757,-0.839028,
899.113,-0.312,-0.456,-34.186684,0.006578,0.001364,0.000000,-741.347,-23.591,-74.586,-56.351187,-0.538178,-0.695338,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.664,-22.891,-61.299,-30.533862,-0.782473,-0.390668,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,4004.723,-581.414,-1556.977,-30.536280,-0.781377,-0.390672,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,157.666,-22.890,-61.298,-30.536708,-0.780966,-0.389971,
-23.585,-0.005,-0.573,-0.627070,0.016766,0.003218,0.001809,181.239,-22.584,-60.437,0.098423,-0.884947,0.065242,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,160.067,-22.569,-59.286,0.548882,-2.866517,0.082362,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
